Common_name	Country	my_locality2	Serial_number	bams_goat_map	bams_impala_map
Impala	Tanzania	Ugalla	8720	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8720.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8720.bam
Impala	Uganda	LakeMburu	4661	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4661.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4661.bam
Impala	Uganda	LakeMburu	4658	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4658.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4658.bam
Impala	Uganda	LakeMburu	4649	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4649.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4649.bam
Impala	Uganda	LakeMburu	4660	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4660.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4660.bam
Impala	Uganda	LakeMburu	4659	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4659.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4659.bam
Impala	Uganda	LakeMburu	4648	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4648.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4648.bam
Impala	Uganda	LakeMburu	4650	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4650.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4650.bam
Impala	Zambia	Kafue	4558	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4558.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4558.bam
Impala	Zambia	Kafue	2450	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2450.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2450.bam
Impala	Zambia	Kafue	2462	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2462.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2462.bam
Impala	Zambia	Luangwa	2558	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2558.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2558.bam
Impala	Zambia	Luangwa	4555	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4555.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4555.bam
Impala	Zambia	Luangwa	4556	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4556.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4556.bam
Impala	Zimbabwe	ManaPools	1617	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1617.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1617.bam
Impala	Zimbabwe	ManaPools	1618	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1618.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1618.bam
